# Pathway	16_S4_R1_001_val_1_Abundance	16_S4_R2_001_val_2_Abundance	17_S5_R1_001_val_1_Abundance	17_S5_R2_001_val_2_Abundance	19_S6_R1_001_val_1_Abundance	19_S6_R2_001_val_2_Abundance
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	142.267	142.308	144.926	143.329	184.484	178.099
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Anoxybacillus.s__Anoxybacillus_flavithermus	0	0	0	0	3.14451	2.72568
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Colwellia.s__Colwellia_psychrerythraea	0	0	0.585013	0.470864	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	142.258	142.302	144.128	142.498	180.945	174.477
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	1.22183	0.989588	3.16782	2.60134	0.466857	0.396616
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	1.22183	0.989588	3.16782	2.60134	0.466857	0.396616
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	0	0	0.64776	0.746589	0	0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation|unclassified	0	0	0.64776	0.746589	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	2.73047	0	5.85559	6.0255	3.28959	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism|unclassified	2.73005	0	5.82164	5.97819	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	19.5299	18.3117	9.93468	9.8886	8.09642	7.61777
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	19.5299	18.3117	9.62444	9.69868	4.36905	5.59891
ANAEROFRUCAT-PWY: homolactic fermentation	74.529	70.8651	100.301	102.48	82.4758	79.0751
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	74.5199	70.8527	98.7134	101.012	79.105	76.6954
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	127.906	123.905	140.004	146.673	174.575	162.31
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Anoxybacillus.s__Anoxybacillus_flavithermus	0	0	0	0	3.18934	2.99504
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Colwellia.s__Colwellia_psychrerythraea	0	0	0.411118	0.57258	1.5212	1.36775
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	127.872	123.875	136.766	143.846	161.381	148.772
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	22.6451	20.5603	65.4563	62.5027	90.5869	85.4569
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	22.6434	20.5594	65.2592	62.3209	87.392	81.381
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	5.15172	6.16633	7.69426	7.28474	2.67806	2.32423
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified	5.15172	6.16633	7.69149	7.28135	2.66426	2.31397
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	44.1653	46.2019	63.8324	66.2622	60.0337	57.2818
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Anoxybacillus.s__Anoxybacillus_flavithermus	0	0	0	0	2.39681	2.59568
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	44.1588	46.1979	63.7361	66.1811	59.74	57.0021
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	50.2796	50.2904	51.9518	53.2781	96.1611	95.5254
ARGORNPROST-PWY: arginine, ornithine and proline interconversion|unclassified	50.2777	50.2884	51.657	52.9523	91.799	91.4011
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	140.938	140.951	181.681	181.246	177.837	174.744
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Colwellia.s__Colwellia_psychrerythraea	0	0	0.359648	0.412571	1.21145	1.41135
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	140.748	140.806	180.382	180.109	172.795	169.756
